net profit / total assets,working capital / total assets,retained earnings / total assets ,book value of equity / total liabilities,sales / total assets,gross profit / short-term liabilities,(gross profit + depreciation) / sales,(total liabilities * 365) / (gross profit + depreciation),gross profit / total assets,gross profit / sales,profit on operating activities / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,profit on operating activities / financial expenses,working capital / fixed assets,(gross profit + interest) / sales,operating expenses / short-term liabilities,profit on sales / total assets,total sales / total assets,constant capital / total assets,(current assets - inventory - receivables) / short-term liabilities,profit on operating activities / sales,(current assets - inventory) / short-term liabilities,EBITDA (profit on operating activities - depreciation) / total assets,EBITDA (profit on operating activities - depreciation) / sales,(short-term liabilities * 365) / cost of products sold) ,equity / fixed assets,working capital,total costs /total sales,long-term liabilities / equity,defaulted
0.03868,0.082838,0,0.78767,0.98145,0.17239,0.10799,1926.4,0.049071,0.049999,0.07165,0.19135,0.43129,3.135,0.13097,0.068077,3.2258,0.063214,0.98145,0.57289,0.014476,0.073004,0.49623,0.014732,0.01501,0.31,0.69661,444.38,0.95059,0.30022,0
0.04032,-0.01326,0,0.64287,1.6062,0.072031,0.1779,777.52,0.04032,0.025103,0,0.14648,0.38859,0,-0.029239,0.057236,1.6891,0.029132,1.6062,0.39356,0.14324,0,0.77812,-0.24543,-0.1528,0.59202,0.86285,-1219.6,0.60031,0.0057597,0
0.043241,0.19727,0.082911,1.6646,1.0137,0.12848,0.061266,1325.3,0.043241,0.026489,0.040821,0.082911,0.60447,0.25348,0.42318,0.026489,4.7849,0.040821,1.6695,0.63103,0.10531,0.025006,0.9039,-0.01595,-0.009771,0.20899,1.2967,2079.1,0.98651,0.043951,0
0.032621,-0.072349,-0.37169,0.0053298,3.3560000000000003,0.043675,0.016499,6556.8,0.04214,0.012557,0.075593,?,-0.3342,1.789,-0.67316,0.021862,3.384,0.090932,3.356,0.0053016,0.011696,0.022524,0.56684,0.06236,0.018582,0.29551,0.049328,-94.83,0.98758,0.0,0
0.028319999999999998,-0.09793400000000001,0.0,0.29318,1.1311,0.064054,0.086133,2897.0,0.030493,0.026958,0.08123,0.12997,0.21602,1.5852,-0.15748,0.065481,2.2187,0.074905,1.1311,0.50489,0.0019375,0.071814,0.19548,0.014296000000000001,0.012639,0.45071,0.36456,-1027.8,0.97321,1.227,0
0.058228,0.11978,0.29217,2.0292,1.0173,0.27132,0.051874,830.93,0.069356,0.031697,0.069006,0.34883,0.52436,0.32081,0.19177,0.031697,8.4145,0.069006,2.2251,0.52713,0.02027,0.031537,1.18,0.024855,0.011359,0.11884,0.83952,7736.9,0.98303,0.005287699999999999,0
1.5309,0.11893,-1.3946,0.17049,1.0639,1.792,1.4499,202.16,1.5309,1.439,0,0.1181,0.13674,?,4.4504,3.1002,1.5985,0.1323,1.0639,0.14566,0.63161,0,1.0954,-0.011608,-0.010911,0.62558,5.4504,33.32,1.2886,0.0,0
-0.27279,0.58135,-0.25985,4.993,0.3466,-3.3157,-0.75107,-233.96,-0.26989,-0.77869,-0.25223,-0.7228,-0.13298,-5.5127,1.7238,-0.77869,5.1447,0.073527,0.3466,0.9186,3.2874,-0.72772,5.983,-0.2618,-0.75534,0.19438,2.4704,8.142000000000001,1.196,0.10257999999999999,0
0.05002,0.19369,0,10.172,0.5001,1.1735,0.39985,163.38,0.069858,0.13969,0.061978,0.22741,0.55162,303.44,0.25936,0.1401,7.3853,0.060466,0.5001,0.93388,3.2757,0.12393,4.2361,-0.068131,-0.13623,0.1354,1.2192,8396.8,0.86299,0.025691000000000002,0
0.084958,0.28499,0,0.45197,3.2651,0.15784,0.034714,2217.9,0.10871,0.033295,0.11933,?,0.25531,27.155,10.84,0.03464,4.5602,0.12437,3.2651,0.31128,0.28757,0.036548,1.4089,0.1147,0.035129,0.21929,11.84,254.6,0.96489,0.0,0
0.0034522,0.74608,-3.2889,3.5853,0.4074,0.044626,0.06187,3158.1,0.0097323,0.023889,0.025069,0.10241,-3.2855,1.203,20.824,0.023889,1.719,0.032496,0.4074,0.78191,0.037613,0.061536,4.3906,0.009596,0.023554,0.58172,21.824,733.72,0.97683,0.0,0
0.58929,0.70311,0.0,4.4071,1.515,3.9369,0.52094,85.531,0.72809,0.48059,0.73107,1.7898,0.74044,178.79,6.2804,0.48059,4.2849,0.72255,1.515,0.81506,1.0853,0.48255,4.8018,0.66993,0.4422,0.23338,7.2804,481.11,0.52347,0,0
0.071777,0.18514,-0.41946,0.78638,1.0270000000000001,0.16295,0.045458,1369,0.071007,0.022095,0.09537,-0.41524,0.43088,0.30477,0.48837,0.022095,7.1811,0.09537,3.2502,0.54304,0.056324,0.029676,0.91068,0.020286,0.0063124,0.13926,1.1366,5818.0,0.97372,0.26031,0
0.011482,0.16921,-0.41977,0.52892,0.98913,0.017554,0.029937,8062.2,0.011482,0.011608,0.021113,-0.23459000000000002,-0.3019,1.317,0.95745,0.01457,1.838,-0.21302,0.98913,0.34594,0.016339,0.021345,0.61359,0.0029836,0.0030164,0.54407,1.9575,480.6,0.99585,0,0
-0.44677,0.20646,-0.28205,-0.17278,0.8505299999999999,-1.1864,-0.14819,-1128.4,-0.43623,-0.18621,-0.4434,-0.23928,-0.18543,-1.6098,0.48479,-0.18621,7.4911,-0.4434,2.4574,0.52007,0.026422,-0.18927,0.76693,-0.53248,-0.2273,0.13349,-0.43542,2871.3,1.1757,-3.8047,0
0.013116,0.5534100000000001,0.0,1.6189,2.222,0.034946,0.0059029,10626.0,0.013116,0.0059029,0.033076999999999995,0.3113,0.32521,1.9258,7.766,0.013633,5.8562,0.036037,2.2399,0.61816,0.023931,0.014886,1.0948,0.0,0,0.25514,8.6746,2644.8,0.98895,0,0
